location,price,total_area,net_area,price_per_sqm,rooms_count,halls_count,bathrooms_count,balconies_count,floor_raw,floor_num,total_floors,building_age_clean,age_category,legal_status,house_condition,kitchen_type,heating_type,has_elevator,has_parking,in_complex,is_furnished,facade_directions,advertiser_type,near_mosque,near_hospital,near_park,near_university,near_school,near_market,near_transport
الأرمن,37000,110,110,336.36,2,1,2,1,2,2,4,10.0,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
الأرمن,38000,120,120,316.67,2,1,2,1,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,شرق,وسيط,0,0,0,0,0,1,1
باب الدريب,40000,120,120,333.33,2,1,2,2,2,2,4,4.0,New,كاتب عدل/وكالة,مسكون من صاحبه,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,شمال",وسيط,0,1,0,0,0,0,0
وادي الذهب,40000,140,140,285.71,3,1,2,1,2,2,4,4.0,New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,شمال,وسيط,0,1,0,0,0,0,0
المخرم,45000,330,240,136.36,4,1,2,1,1,1,2,17.5,Medium,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,لا يوجد,بدون مصعد,بدون موقف,خارج مجمع,مفروش,جنوب,المالك,0,0,0,0,0,0,0
كرم الشامي,45000,300,300,150.0,2,1,2,1,أرضي,0,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,مقتوح,داخل مجمع,مفروش,"جنوب,شمال",وسيط,0,0,0,0,0,0,0
وادي الذهب,45000,125,125,360.0,2,1,2,1,2,2,2,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شمال",وسيط,1,1,0,0,0,0,0
النزهة,48000,150,150,320.0,3,1,2,1,2,2,4,7.5,Semi-New,كاتب عدل/وكالة,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,غرب,وسيط,1,1,1,1,0,0,0
وادي الذهب,50000,160,160,312.5,3,1,2,2,3,3,3,7.5,Semi-New,حكم محكمة,مسكون من صاحبه,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,شرق,شمال",وسيط,0,1,0,0,1,0,0
وادي الذهب,52000,190,190,273.68,4,1,2,1,2,2,5,4.0,New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق,غرب",وسيط,0,0,0,0,1,1,1
كرم اللوز,53000,165,165,321.21,4,1,2,2,2,2,2,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"جنوب,غرب",وسيط,0,0,0,0,0,0,0
كرم الشامي,55000,167,167,329.34,3,1,2,1,4,4,10,10.0,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,يوجد مصعد,يوجد موقف,داخل مجمع,غير مفروش,جنوب,المالك,0,0,0,0,0,0,0
الأرمن,55000,170,170,323.53,4,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,يوجد مصعد,يوجد موقف,داخل مجمع,غير مفروش,جنوب,وسيط,0,0,0,0,0,1,0
عكرمة,55000,110,110,500.0,4,1,2,1,1,1,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,جنوب,وسيط,0,1,0,0,0,0,0
عكرمة الجديدة,55000,100,100,550.0,2,1,2,1,2,2,5,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مغلق,تدفئة ديزل,بدون مصعد,بدون موقف,داخل مجمع,غير مفروش,غرب,وسيط,0,1,0,0,1,0,0
عكرمة الجديدة,60000,130,130,461.54,3,1,2,1,2,2,4,7.5,Semi-New,طابو أخضر/نظامي,فارغ,مفتوح (أمريكي),تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,غير مفروش,"جنوب,شرق",وسيط,0,1,0,0,0,0,0
وادي الذهب,60000,185,185,324.32,4,1,2,1,3,3,4,7.5,Semi-New,طابو أخضر/نظامي,مسكون من صاحبه,مغلق,تدفئة ديزل,بدون مصعد,يوجد موقف,داخل مجمع,مفروش,"شرق,شمال",وسيط,0,0,1,0,0,0,0
